value__partial_autocorrelation__lag_3;index;value__ar_coefficient__coeff_2__k_10;value__lempel_ziv_complexity__bins_3;value__longest_strike_above_mean;value__lempel_ziv_complexity__bins_5;value__ar_coefficient__coeff_1__k_10;value__longest_strike_below_mean;value__partial_autocorrelation__lag_2;value__lempel_ziv_complexity__bins_10;value__lempel_ziv_complexity__bins_100;"value__agg_autocorrelation__f_agg_""mean""__maxlag_40";value__permutation_entropy__dimension_3__tau_1;value__lempel_ziv_complexity__bins_2;value__ar_coefficient__coeff_3__k_10;value__ar_coefficient__coeff_5__k_10;value__number_peaks__n_10;value__number_peaks__n_5;value__value_count__value_1;value__permutation_entropy__dimension_4__tau_1;value__permutation_entropy__dimension_6__tau_1;value__permutation_entropy__dimension_5__tau_1;value__value_count__value_-1;value__range_count__max_1__min_-1;"value__linear_trend__attr_""stderr""";value__number_peaks__n_50;value__permutation_entropy__dimension_7__tau_1;value__value_count__value_0;value__ratio_value_number_to_time_series_length;"value__fft_aggregated__aggtype_""variance""";"value__fft_aggregated__aggtype_""centroid""";value__percentage_of_reoccurring_datapoints_to_all_datapoints;value__ar_coefficient__coeff_4__k_10;value__ar_coefficient__coeff_7__k_10;"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""";value__number_cwt_peaks__n_1;value__number_peaks__n_3;"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""";value__percentage_of_reoccurring_values_to_all_values;"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""";"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""";"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""";"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""";"value__agg_autocorrelation__f_agg_""median""__maxlag_40";"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""";value__number_peaks__n_1;"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""";"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""";value__binned_entropy__max_bins_10;level_0
0.642840748431298;591;-1.8223030785235672;0.1181640625;56.0;0.1611328125;2.233730880125898;36.0;-0.8532287628215957;0.2314453125;0.4775390625;0.07840777717281602;1.3021395759747003;0.111328125;0.4476547436418416;-0.39865338361045655;25.0;42.0;34.0;1.8455145318964428;3.422122241927946;2.6024575680769826;24.0;70.0;0.0013995972711218175;7.0;4.195481321390857;46.0;0.07421875;5881.375932983937;69.04508315754008;0.986328125;0.35127330376660626;0.011930295402577474;0.014559759233931093;53.0;51.0;0.01509626813622623;0.8157894736842105;0.014736631430795356;3.6824314397937035;0.0368825178775138;0.30321302631494274;-0.014347793670847894;0.03850001371892972;59.0;0.3075962202151104;0.03666621250483412;1.8224988285272943;591
0.3982836235184553;592;-2.085328983060215;0.0771484375;72.0;0.115234375;2.1541671620241254;51.0;-0.7584744339554628;0.1875;0.4423828125;0.31427318229674917;1.4091715599077828;0.1025390625;1.8122573096009222;1.422140309641367;29.0;43.0;12.0;2.157926270288604;3.911223109286869;3.0366092994987732;18.0;27.0;0.004945186822003081;7.0;4.654500181011555;9.0;0.220703125;6818.187403392632;61.47329379473721;0.9052734375;-1.7231281560436857;0.42184603379103497;0.05383998588114807;68.0;59.0;0.055591746400957535;0.5707964601769911;0.05419577471693996;47.48934740827133;0.14309679725061977;1.521566979593374;0.3235986249657087;0.15893334892417113;100.0;1.6106607658735412;0.14529240703393215;1.5128196163343273;592
0.5364601896165858;593;-1.9795898324081853;0.1416015625;40.0;0.1806640625;2.3163815180071192;45.0;-0.8664837967094051;0.251953125;0.4970703125;0.09157706382202488;1.2731587407549139;0.1005859375;0.5783545062419017;-0.2085962192536005;31.0;34.0;25.0;1.766111280763769;3.2387880408149976;2.50796755144794;23.0;58.0;0.0017487158440620276;8.0;3.941339181584397;35.0;0.083984375;5938.758238010907;66.85117401572555;0.9892578125;0.24503702404577596;0.032367885596722004;0.018816600994175498;55.0;43.0;0.018080949404050854;0.872093023255814;0.018493593003443165;4.4268464104179035;0.04851263465982692;0.40349076606578665;-3.0049169118995917e-05;0.04841947315383083;55.0;0.3183162632524647;0.04669249244505386;2.059045859069546;593
0.4988219297708896;594;-1.9088869050264263;0.10546875;55.0;0.14453125;2.1956719966187963;47.0;-0.8497492098141097;0.208984375;0.4677734375;0.11733567659536917;1.352479237528893;0.0947265625;1.0936040698798613;0.7266623694585931;33.0;45.0;21.0;2.0068292140335227;3.6261930176419286;2.814168072513182;14.0;25.0;0.00359732395877712;6.0;4.349417229018622;11.0;0.166015625;6707.018053661725;73.45406650885569;0.955078125;-0.8675715859440641;0.0451313654939082;0.03545795143458143;62.0;55.0;0.04188223846647441;0.7294117647058823;0.03744926240801051;49.36925830956103;0.09099478277976782;1.0051227997286285;0.10754841947751279;0.11867911815426645;82.0;1.3413140346824024;0.09269068635447755;1.6429221853216354;594
0.5933009894441809;595;-1.8250076642178712;0.1435546875;26.0;0.171875;2.211880810151882;30.0;-0.8679617878350657;0.2421875;0.4755859375;0.03799022717214389;1.3024325900941582;0.107421875;0.5325654406727589;-0.17422216816087205;24.0;46.0;15.0;1.834545878913761;3.3825641658023375;2.5923303235992017;20.0;84.0;0.001300332455544844;8.0;4.093057606128632;64.0;0.068359375;5773.30549810476;74.76472698768121;0.98828125;0.15908807270118253;-0.02885405280125759;0.013635013583481325;54.0;57.0;0.013343355821375958;0.8285714285714286;0.013356906677564635;2.4312654530316147;0.032414861283583896;0.3119669142946702;-0.03601496781092568;0.0323847364988379;62.0;0.19253111795573916;0.030858984301984044;1.8907763513634486;595
0.38188062368945647;596;-2.0080233284198665;0.1328125;41.0;0.1787109375;2.2018676478584296;28.0;-0.8342664542111111;0.248046875;0.4990234375;0.0117629257476384;1.3241048194900427;0.109375;1.422293213572601;1.183403353821379;28.0;37.0;16.0;1.911589344252424;3.4085444150231794;2.653430260084522;12.0;27.0;0.0024531520493854355;5.0;4.114508091540979;15.0;0.111328125;6132.397414574019;69.52549307416847;0.98828125;-1.3572555132740292;0.17438159845660361;0.025077270785062812;54.0;47.0;0.026706602671813347;0.8947368421052632;0.02594662940588218;9.137518943740933;0.06474881954296668;0.5322661039741396;-0.05719940299781636;0.07040319801849552;69.0;0.4092061521468139;0.06481513954664749;1.991050934517274;596
0.5406728223877839;597;-2.0935233722583644;0.1123046875;48.0;0.15234375;2.348864833644892;53.0;-0.8524305042394766;0.228515625;0.4892578125;-0.021998300067488256;1.2776163164833751;0.0869140625;0.9198407067973687;0.00022181616436286675;14.0;27.0;11.0;1.755559049658593;3.2002892846210074;2.493508188082701;10.0;32.0;0.002988146965290694;6.0;3.8405501205422388;22.0;0.130859375;5061.182547824524;55.76741574033176;0.984375;-0.2480932002246951;-0.3819771987211848;0.0335642513946188;60.0;41.0;0.031968093773148534;0.8805970149253731;0.03274634615183313;14.728520960326664;0.09243834654757749;0.6940458732785993;-0.15955876551166828;0.08394263973813519;48.0;0.5068442914245416;0.08870578063416093;2.0690582049754545;597
0.43853223531783264;598;-0.994842661479883;0.1328125;33.0;0.17578125;1.9800233184524496;53.0;-0.9559892160435408;0.2421875;0.4755859375;-0.0027975740915883616;1.160175764081198;0.095703125;-0.06460046008416936;0.174028119436606;17.0;20.0;23.0;1.4515990169182529;2.610309215632693;1.9958211877444871;23.0;71.0;0.0015738898571912455;6.0;3.0437242245392664;48.0;0.0751953125;5235.695651017809;57.621384713866476;0.9912109375;-0.12565571563996822;-0.01286896186156851;0.016177298768516528;47.0;21.0;0.017362152240518902;0.8831168831168831;0.016761851567531034;4.014186980249986;0.03549342161296843;0.21831529567254215;-0.09444065146396938;0.04593448464862231;23.0;0.4091325695676795;0.04150656282437316;2.038932388501653;598
-0.03878236496390544;599;-0.508246051022256;0.07421875;65.0;0.115234375;1.716032768825493;62.0;-0.8830354448197053;0.17578125;0.4169921875;0.13345824356842909;1.156319239169291;0.0947265625;-0.29233132685234153;0.05769934751465135;20.0;27.0;10.0;1.46842043394805;2.583413053628857;2.0023831407046733;9.0;36.0;0.004196870362468126;6.0;3.0427533011307175;27.0;0.1767578125;7272.373120304973;61.1120809580901;0.9423828125;-0.06542074882300689;0.00528860555483183;0.04652747201993451;38.0;30.0;0.045042981176817584;0.6740331491712708;0.04514275940638934;96.53040712920458;0.13265207684932864;1.2749110233619092;0.09541270405401915;0.1105465893215737;31.0;1.099155610182324;0.11675069564823218;1.462226189073551;599
0.6229790018009663;600;-2.596127826930356;0.109375;43.0;0.15625;2.4535927673474096;44.0;-0.878319372237623;0.220703125;0.4892578125;-0.04606154003305483;1.297341242364643;0.091796875;2.086767795731874;1.771914608861685;23.0;36.0;6.0;1.9176120909178334;3.2716221901067675;2.6079524084731283;9.0;20.0;0.005553975933903117;11.0;3.8576595811010645;11.0;0.22265625;5862.5341786675535;64.24812653440833;0.955078125;-1.957937960208635;0.6256383976327643;0.06479751886946504;50.0;44.0;0.05516746354199694;0.7982456140350878;0.059844634477694114;48.07315939244209;0.18831862638284314;1.2454508747879827;-0.2052673018890786;0.13068545272998805;82.0;0.814089808088478;0.15151869735270584;1.9293204838898155;600
